segment,mean,median,mode,std_dev,variance,min,max,range,max_slope,min_slope,mean_slope,AUC,skewness,kurtosis,rise_time (s),fall_time (s),asymmetry (AUC half2 - half1),force,subdata_id,segment_type,cycle_duration
segment_1,0.134837354709419,2.16,-10.24,4.345680824835051,18.88494183133905,-10.24,3.2,13.44,1.789178356713423,-0.1010020040080217,0.017314629258517,0.0529096670294497,-1.7508103515711524,1.4997614348275778,0.0880160320641282,0.2719839679358717,0.4264456126682223,5,subdata_11,start,0.36
segment_2,-0.0038451302605211,-0.56,-0.56,1.4733037211040032,2.1706238546189027,-1.6,3.2,4.800000000000001,0.4008016032063906,-0.240480961923861,-1.7799166727457418e-18,-0.0006464231067347,1.0425622580616836,-0.4637423592685943,0.7294589178356713,0.2705410821643288,0.9641561278870364,5,subdata_11,cycle,1.0
segment_3,-0.0130921042084171,-0.56,-0.56,1.470257933788646,2.161658391868459,-1.6,3.2,4.800000000000001,0.3621643286573748,-0.2816833667335137,-1.7799166727457418e-18,-0.0099515757768045,1.0483083844454728,-0.4455221546022363,0.724328657314629,0.2796713426853707,0.9551703133722348,5,subdata_11,cycle,1.0039999999999998
segment_4,0.0012751903807612,-0.56,-0.48,1.4740592359687192,2.172850631144684,-1.6,3.2,4.800000000000001,0.4373547094187642,-0.2783166332665485,0.0,0.0044482854285718,1.0445576476649,-0.4627480214428132,0.721635270541082,0.270364729458918,0.9628499779518952,5,subdata_11,cycle,0.992
segment_5,-0.0105516633266527,-0.56,-0.72,1.4677351152256592,2.154246368466479,-1.6,3.12,4.720000000000001,0.4008016032065424,-0.2404809619238876,-8.899583363728709e-19,-0.0073663961188902,1.0436262465230024,-0.4705918975127794,0.7254509018036073,0.2745490981963927,0.9663961188910896,5,subdata_11,cycle,1.0
segment_6,-0.0111836472945893,-0.56,-0.4,1.471240050913944,2.164547287413265,-1.6,3.2,4.800000000000001,0.4426452905811866,-0.24144288577161,0.0,-0.008031645174116,1.0518699569155712,-0.4417382799846105,0.7283527054108214,0.275647294589179,0.963490012650552,5,subdata_11,cycle,1.0040000000000004
segment_7,-0.0137452505010011,-0.56,-0.4,1.4676411525328683,2.153970552608006,-1.6,3.12,4.720000000000001,0.4008016032064794,-0.240480961923941,-8.899583363728709e-19,-0.0105663832675362,1.0411996333621407,-0.4726353477035148,0.7214428857715429,0.2785571142284571,0.9561561600154218,5,subdata_11,cycle,1.0
segment_8,-0.0073747494989967,-0.56,-0.48,1.4674448869232004,2.1533944961570444,-1.6,3.12,4.720000000000001,0.399198396793609,-0.2794388777555265,0.0,-0.0041663832675356,1.0409535675837684,-0.4789512613943891,0.7245450901803601,0.2714549098196395,0.958396151019474,5,subdata_11,cycle,0.9959999999999996
segment_9,-0.0150008817635269,-0.56,-0.4,1.472705546406336,2.168861626415985,-1.6,3.12,4.720000000000001,0.4024048096191721,-0.2816833667336692,-8.899583363728709e-19,-0.0118718289484779,1.0385836346961967,-0.478808695778762,0.7243286573146301,0.2796713426853703,0.9654102658222264,5,subdata_11,cycle,1.0040000000000004
segment_10,-6.278996392785577,-10.24,-10.24,4.655455650599175,21.67326731469579,-10.24,-0.32,9.92,0.0650901803607412,-8.006092184371164,-0.017314629258517,-10.198258498881543,0.3312129721673399,-1.8799814235193024,0.6509018036072138,0.9730981963927868,-6.431501501118463,5,subdata_11,end,1.6240000000000006
segment_1,-1.7320702204408818,-0.32,-10.24,4.992005322864921,24.920117143511703,-10.24,3.12,13.36,3.012104208416865,-0.1975150300601311,0.017314629258517,-1.0617853865647124,-0.966123276947728,-0.7646144372801387,0.3370100200400802,0.2789899799599198,2.1231917738482977,5,subdata_12,start,0.616
segment_2,-0.0041683366733466,-0.56,-0.32,1.4072948995552848,1.9804789343143188,-1.6,3.12,4.720000000000001,0.3991983967936094,-0.2395190380761656,-8.899583363728709e-19,-0.0009663961188912,1.0266484943322027,-0.4158718142382831,0.7165611222444891,0.279438877755511,0.9142363283681588,5,subdata_12,cycle,0.996
